incident_key,quick_fix_condition
accident,Minor Accident
accident_pileup,Multi-Vehicle Pileup
hit_and_run,Hit-and-Run
pedestrian_accident,Pedestrian Accident
school_bus_accident,School Bus Accident
pothole,Potholes
broken_signal,Broken Traffic Signal
poor_lighting,Poor Street Lighting
flooded_road,Flooded Road
damaged_speed_breaker,Damaged Speed Breaker
rash_driver,Rash Driver Nearby
wrong_way_driver,Wrong-Way Driver
drunk_driver,Suspected Drunk Driver
overloaded_van,Overloaded Van/Bus
no_headlight_bike,Motorcycle without Headlight
heavy_rain,Heavy Rain
fog,Foggy Weather
heatwave,Heatwave Driving
hailstorm,Hailstorm
strong_winds,Strong Winds
car_fire,Car Fire
brake_failure,Brake Failure
flood_on_road,Flood on Road
gas_cylinder_blast,Gas Cylinder Blast
bridge_collapse_risk,Bridge Collapse Risk
flat_tyre,Flat Tyre
dead_battery,Dead Battery
overheated_engine,Overheated Engine
headlight_failure,Headlight Failure
out_of_fuel,Out of Fuel
stuck_vehicle,Stuck Vehicle
