condition,quick_fix_title,instructions
Minor Accident,Stay calm & check injuries,"Stop vehicle safely, turn on hazard lights, check for injuries, exchange details, call police if needed."
Multi-Vehicle Pileup,Stay inside if safe,"Keep seatbelt on, switch on hazard lights, do not leave vehicle unless absolutely safe, call rescue immediately."
Hit-and-Run,Note details & help injured,"Note fleeing vehicle number, check for injured, provide first aid, call police & rescue services."
Pedestrian Accident,Secure area & help victim,"Stop immediately, provide first aid if possible, call rescue/ambulance, do not move victim unnecessarily."
School Bus Accident,Keep children calm,"Ensure children are safe, evacuate bus if fire risk, call 1122 immediately, provide first aid."
Potholes,Drive slowly & avoid sudden turns,"Reduce speed, hold steering firmly, avoid sudden braking, report potholes to authorities."
Broken Traffic Signal,Follow 4-way stop rule,"At broken signals, treat as 4-way stop: first come, first go. Be cautious and patient."
Poor Street Lighting,Increase visibility,"Use headlights and fog lights if needed, reduce speed, maintain safe following distance."
Flooded Road,Check water depth before entry,"If water above tyres, do not proceed. If shallow, move slowly in low gear and steady speed."
Damaged Speed Breaker,Slow down & cross carefully,"Reduce speed, cross diagonally if possible, avoid sudden braking."
Rash Driver Nearby,Keep safe distance,"Do not engage or race, let the driver pass, maintain safe distance, report to traffic police if possible."
Wrong-Way Driver,Pull over & warn others,"Slow down, move to safe lane/side, flash headlights to warn, call police helpline."
Suspected Drunk Driver,Stay away & report,"Do not follow closely, avoid overtaking, note number plate, report immediately to police helpline."
Overloaded Van/Bus,Keep distance,"Maintain distance, avoid overtaking in risky spots, report to traffic police helpline."
Motorcycle without Headlight,Stay alert & give space,"Keep safe distance, honk lightly if rider unseen, allow space, report if dangerous."
Heavy Rain,Slow down & keep lights on,"Drive at reduced speed, keep headlights/fog lights on, avoid sudden braking or large puddles."
Foggy Weather,Use fog lights & low beam,"Turn on fog lights, avoid high beam, drive slowly, keep distance, avoid overtaking."
Heatwave Driving,Check tyres & engine,"Ensure tyres inflated properly, keep engine coolant checked, carry water for hydration."
Hailstorm,Park safely under shelter,"If driving, slow down, pull over under cover if available, stay inside vehicle until safe."
Strong Winds,Hold steering firmly,"Keep both hands on wheel, reduce speed, avoid overtaking, stay away from large vehicles."
Car Fire,Evacuate immediately,"Switch off engine, evacuate passengers, use fire extinguisher if small fire, call rescue services."
Brake Failure,Use handbrake & gears,"Shift to lower gear, pump brakes repeatedly, pull handbrake slowly, steer towards safety zone."
Flood on Road,Do not risk crossing,"If water too deep, stop vehicle, move to higher ground, call rescue if stuck."
Gas Cylinder Blast,Move away immediately,"Evacuate area, do not attempt to extinguish large fire, call fire brigade & rescue."
Bridge Collapse Risk,Avoid crossing & alert others,"If cracks/tilt noticed, do not cross, alert authorities, warn other drivers nearby."
Flat Tyre,Replace with spare,"Park safely, loosen nuts, use jack to lift car, replace with spare tyre."
Dead Battery,Jump-start safely,"Use jumper cables: red to +, black to -, connect to donor battery, start engine."
Overheated Engine,Cool down engine,"Turn off engine, wait 15-20 mins, open bonnet after cooling, refill coolant if available."
Headlight Failure,Stay visible,"Switch on hazard lights, reduce speed, move to safe location."
Out of Fuel,Call fuel delivery,"Pull to roadside safely, switch on hazard lights, wait for emergency fuel service."
Stuck Vehicle,Rock vehicle gently,"Alternate between forward and reverse gear, avoid spinning tyres too fast."
